comparison,outcome,query_id,question,expected_file,expected_line,vector_rank,static_kg_rank,staged_kg_rank,kg_candidate_pool_contains_gold_before_rerank,kg_rank_before_rerank,kg_rank_after_rerank_full,kg_pool_size,diagnosis
AST-KG+CrossEncoder(static-K) vs Vector-only,rescued_by_kg,L026-Q1,The application is failing to initiate data retrieval for the specified topic partition. How do we troubleshoot this issue?,core/src/main/scala/kafka/server/ReplicaManager.scala,2508,,16,,True,49,16,145,gold was in expanded pool and retained in top-K
AST-KG+CrossEncoder(static-K) vs Vector-only,rescued_by_kg,L026-Q2,It looks like we're running into a problem where the fetch process isn't starting for one of our topic partitions. What could be causing this?,core/src/main/scala/kafka/server/ReplicaManager.scala,2508,,3,,True,51,3,117,gold was in expanded pool and retained in top-K
AST-KG+CrossEncoder(static-K) vs Vector-only,rescued_by_kg,L026-Q3,What diagnostic steps can we take to identify why the fetching process for the specified topic partition isn't starting up correctly?,core/src/main/scala/kafka/server/ReplicaManager.scala,2508,,5,,True,49,5,125,gold was in expanded pool and retained in top-K
AST-KG+CrossEncoder(static-K) vs Vector-only,rescued_by_kg,L035-Q3,Could this issue indicate a problem with the topic deletion permissions or configuration settings in our Kafka setup?,metadata/src/main/java/org/apache/kafka/controller/ReplicationControlManager.java,1014,,8,6,True,21,8,152,gold was in expanded pool and retained in top-K
AST-KG+CrossEncoder(static-K) vs Vector-only,lost_by_kg,L038-Q2,"Hey, has anyone noticed that a scheduled task seems to be missing from our system?",metadata/src/main/java/org/apache/kafka/controller/PeriodicTaskControlManager.java,175,11,,13,True,11,24,88,gold was in pool but reranking placed it outside top-K
AST-KG+CrossEncoder(static-K) vs Vector-only,lost_by_kg,L055-Q1,"The configuration update failed to process properly, leading to potential issues with the Kafka setup. What might be causing this error?",core/src/main/scala/kafka/server/ConfigAdminManager.scala,255,10,,14,True,10,26,114,gold was in pool but reranking placed it outside top-K
AST-KG+CrossEncoder(static-K) vs Vector-only,lost_by_kg,KAFKA-9357-Q1,Why are replica fetch requests being disconnected before the response is read?,clients/src/main/java/org/apache/kafka/clients/FetchSessionHandler.java,618,20,,18,True,20,50,188,gold was in pool but reranking placed it outside top-K
AST-KG+CrossEncoder(static-K) vs Vector-only,lost_by_kg,KAFKA-13317-Q1,Why are brokers repeatedly logging that fetch requests to another broker were disconnected before a response was read?,clients/src/main/java/org/apache/kafka/clients/FetchSessionHandler.java,618,11,,19,True,11,50,167,gold was in pool but reranking placed it outside top-K
AST-KG+CrossEncoder(static-K) vs Vector-only,lost_by_kg,KAFKA-13317-Q2,What Kafka log explains inter-broker fetch traffic failing with 'connection disconnected before the response was read'?,clients/src/main/java/org/apache/kafka/clients/FetchSessionHandler.java,618,4,,15,True,4,34,200,gold was in pool but reranking placed it outside top-K
AST-KG+CrossEncoder(static-K) vs Vector-only,lost_by_kg,KAFKA-13317-Q3,Could broken broker-to-broker connectivity be the cause of repeated fetch request disconnects?,clients/src/main/java/org/apache/kafka/clients/FetchSessionHandler.java,618,9,,17,True,9,38,180,gold was in pool but reranking placed it outside top-K
AST-KG+CrossEncoder(static-K) vs Vector-only,lost_by_kg,KAFKA-7802-Q2,Which Kafka log explains replica fetchers losing the response path to another broker?,clients/src/main/java/org/apache/kafka/clients/FetchSessionHandler.java,618,16,,19,True,16,97,125,gold was in pool but reranking placed it outside top-K
AST-KG+CrossEncoder+StagedConfidence vs Vector-only,rescued_by_kg,L035-Q3,Could this issue indicate a problem with the topic deletion permissions or configuration settings in our Kafka setup?,metadata/src/main/java/org/apache/kafka/controller/ReplicationControlManager.java,1014,,8,6,True,21,6,40,gold was in expanded pool and retained in top-K
AST-KG+CrossEncoder+StagedConfidence vs Vector-only,lost_by_kg,L088-Q2,Has anyone else noticed problems when trying to increase the number of partitions for a topic lately?,metadata/src/main/java/org/apache/kafka/controller/ReplicationControlManager.java,1823,14,14,,True,14,26,40,gold was in pool but reranking placed it outside top-K
