method,query_id,subset,question,expected_file,expected_line,gold_hit_at_20,gold_rank,reciprocal_rank_at_20,kg_candidate_pool_contains_gold_before_rerank,kg_rank_before_rerank,kg_rank_after_rerank_full,kg_pool_size
Vector-only,L001-Q1,v2,We've observed a sudden change in the partitions being used by our Kafka topic. Can anyone explain what triggered this adjustment?,metadata/src/main/java/org/apache/kafka/controller/ReplicationControlManager.java,2055,True,13,0.07692307692307693,True,13,13,198
Vector-only,L001-Q2,v2,"Hey team, I've noticed that our topic's partitions are switching around unexpectedly. Is there something in the configuration we need to check?",metadata/src/main/java/org/apache/kafka/controller/ReplicationControlManager.java,2055,True,14,0.07142857142857142,True,14,14,258
Vector-only,L001-Q3,v2,Could the alteration in partition assignments for our Kafka messages be linked to recent scaling operations or configuration changes?,metadata/src/main/java/org/apache/kafka/controller/ReplicationControlManager.java,2055,True,17,0.058823529411764705,True,17,17,138
Vector-only,L002-Q1,v2,We're encountering issues when trying to remove a replica from a specified topic partition. What might be causing this failure?,core/src/main/scala/kafka/server/ReplicaManager.scala,2392,True,2,0.5,True,2,2,141
Vector-only,L002-Q2,v2,"Hey, has anyone noticed that we can't seem to delete a replica from the topic partition? This is really slowing things down!",core/src/main/scala/kafka/server/ReplicaManager.scala,2392,True,2,0.5,True,2,2,105
Vector-only,L002-Q3,v2,Could the inability to delete the replica for the defined topic partition indicate a potential underlying configuration issue or resource limitation?,core/src/main/scala/kafka/server/ReplicaManager.scala,2392,True,2,0.5,True,2,2,105
Vector-only,L003-Q1,v2,"Why is the AlterPartition request from node X failing for topic Y-partition Z, and what impact is this having on message processing?",metadata/src/main/java/org/apache/kafka/controller/ReplicationControlManager.java,1266,True,11,0.09090909090909091,True,11,11,105
Vector-only,L003-Q2,v2,I noticed that node X couldn't handle the AlterPartition request for topic Y-partition Z—could this be causing issues with data replication?,metadata/src/main/java/org/apache/kafka/controller/ReplicationControlManager.java,1266,True,14,0.07142857142857142,True,14,14,145
Vector-only,L003-Q3,v2,"What could be the underlying reason for node X rejecting the AlterPartition request for topic Y-partition Z, and how can we troubleshoot this further?",metadata/src/main/java/org/apache/kafka/controller/ReplicationControlManager.java,1266,True,12,0.08333333333333333,True,12,12,150
Vector-only,L004-Q1,v2,"Why is Broker {} showing a controlled shutdown state, and what impact does this have on message processing?",metadata/src/main/java/org/apache/kafka/controller/BrokerHeartbeatManager.java,455,True,1,1.0,True,1,1,160
Vector-only,L004-Q2,v2,I noticed that Broker {} is shutting down but seems stuck—could this cause delays in message delivery?,metadata/src/main/java/org/apache/kafka/controller/BrokerHeartbeatManager.java,455,True,4,0.25,True,4,4,117
Vector-only,L004-Q3,v2,Can we investigate why Broker {} is in a controlled shutdown state and if it affects the cluster's availability?,metadata/src/main/java/org/apache/kafka/controller/BrokerHeartbeatManager.java,455,True,1,1.0,True,1,1,157
Vector-only,L005-Q1,v2,We're encountering issues with message appending; can we investigate the behavior of the $topicIdPartition partition during this operation?,core/src/main/scala/kafka/server/ReplicaManager.scala,1407,True,1,1.0,True,1,1,246
Vector-only,L005-Q2,v2,"Hey team, it looks like we have a problem with adding messages to one of our partitions. What's going on with $topicIdPartition?",core/src/main/scala/kafka/server/ReplicaManager.scala,1407,True,1,1.0,True,1,1,247
Vector-only,L005-Q3,v2,"Could there be a malfunction affecting the append functionality on the $topicIdPartition, and how could we confirm the root cause?",core/src/main/scala/kafka/server/ReplicaManager.scala,1407,True,1,1.0,True,1,1,213
Vector-only,L006-Q1,v2,"Why is the ISR for one of our partitions currently empty, and what impact might this have on message delivery?",metadata/src/main/java/org/apache/kafka/controller/PartitionChangeBuilder.java,450,True,1,1.0,True,1,1,365
Vector-only,L006-Q2,v2,"Hey team, I've noticed that one of our partitions isn't having any in-sync replicas. Could this be affecting our data availability?",metadata/src/main/java/org/apache/kafka/controller/PartitionChangeBuilder.java,450,False,,0.0,False,,,261
Vector-only,L006-Q3,v2,Can we diagnose why the ISR is empty for this partition and what changes occurred leading up to this situation?,metadata/src/main/java/org/apache/kafka/controller/PartitionChangeBuilder.java,450,True,1,1.0,True,1,1,313
Vector-only,L007-Q1,v2,Is there a broker registration failure occurring due to a mismatch in API versions?,core/src/main/scala/kafka/server/BrokerLifecycleManager.scala,417,True,1,1.0,True,1,1,124
